CustomerID,Gender,Age,AnnualIncome,SpendingScore,Cluster,SilhouetteScore
1,Male,19,15,39,4,0.4112404642286013
2,Male,21,15,81,2,0.6962068259787054
3,Female,20,16,6,4,0.639340689933972
4,Female,23,16,77,2,0.6960419535104221
5,Female,31,17,40,4,0.3856335918269231
6,Female,22,17,76,2,0.6974821487983717
7,Female,35,18,6,4,0.6483399845262836
8,Female,23,18,94,2,0.6589313813054932
9,Male,64,19,3,4,0.6292705354787927
10,Female,30,19,72,2,0.6618481372081526
11,Male,67,19,14,4,0.6770949662162549
12,Female,35,19,99,2,0.6225089238512874
13,Female,58,20,15,4,0.6791494717019655
14,Female,24,20,77,2,0.7183836008555007
15,Male,37,20,13,4,0.6798900743086036
16,Male,22,20,79,2,0.725173766170279
17,Female,35,21,35,4,0.48072800027147666
18,Male,20,21,66,2,0.5408660360350389
19,Male,52,23,29,4,0.5777135458456267
20,Female,35,23,98,2,0.630697043722851
21,Male,35,24,35,4,0.46089203493040304
22,Male,25,24,73,2,0.6760156140207062
23,Female,46,25,5,4,0.6408946651361128
24,Male,31,25,73,2,0.6703389732149194
25,Female,54,28,14,4,0.6607495286056294
26,Male,29,28,82,2,0.7047184461597557
27,Female,45,28,32,4,0.48567333253890993
28,Male,35,28,61,2,0.2933136852116631
29,Female,40,29,31,4,0.4925690987501914
30,Female,23,29,87,2,0.6846275002236544
31,Male,60,30,4,4,0.6060197753947526
32,Female,21,30,73,2,0.6117431650182523
33,Male,53,33,4,4,0.5772742799839004
34,Male,18,33,92,2,0.6183607699200451
35,Female,49,33,14,4,0.6096251951296696
36,Female,21,33,81,2,0.6402842549404462
37,Female,42,34,17,4,0.5863706813159012
38,Female,30,34,73,2,0.5293745350102764
39,Female,36,37,26,4,0.42191998102326267
40,Female,20,37,75,2,0.48596674088846503
41,Female,65,38,35,4,0.090763093249794
42,Male,24,38,92,2,0.5481333745803536
43,Male,48,39,36,4,-0.012124759727625584
44,Female,31,39,61,0,0.12114122646948419
45,Female,49,39,28,4,0.3126116025996585
46,Female,24,39,65,2,0.04964593811605889
47,Female,50,40,55,0,0.39355122517859964
48,Female,27,40,47,0,0.4386032662288365
49,Female,29,40,42,0,0.2968081203744523
50,Female,31,40,42,0,0.2968081203744523
51,Female,49,42,52,0,0.524565423453155
52,Male,33,42,60,0,0.303670495134888
53,Female,31,43,54,0,0.5189998093468121
54,Male,59,43,60,0,0.3428952923383753
55,Female,50,43,45,0,0.4933133800737456
56,Male,47,43,41,0,0.37566018282029057
57,Female,51,44,50,0,0.6019189917041423
58,Male,69,44,46,0,0.5443456116249047
59,Female,27,46,51,0,0.6412121933552204
60,Male,53,46,46,0,0.5958585272360222
61,Male,70,46,56,0,0.5595623255009597
62,Male,19,46,55,0,0.5812793456679073
63,Female,67,47,52,0,0.6511309606273009
64,Female,54,47,59,0,0.5041513492376006
65,Male,63,48,51,0,0.67982040341057
66,Male,18,48,59,0,0.5284759755813196
67,Female,43,48,50,0,0.6854378979822869
68,Female,68,48,48,0,0.6672179730537029
69,Male,19,48,59,0,0.5284759755813196
70,Female,32,48,47,0,0.6543063103873299
71,Male,70,49,55,0,0.6432392746661673
72,Female,47,49,42,0,0.5741555671473703
73,Female,60,50,49,0,0.7078519919278061
74,Female,60,50,56,0,0.6404296788221179
75,Male,59,54,47,0,0.7324001138579662
76,Male,26,54,54,0,0.7196070762472967
77,Female,45,54,53,0,0.7318234334016813
78,Male,40,54,48,0,0.7412902902715027
79,Female,23,54,52,0,0.7415927926552419
80,Female,49,54,42,0,0.6536531024751684
81,Male,57,54,51,0,0.7490050401242474
82,Male,38,54,55,0,0.7048435811271457
83,Male,67,54,41,0,0.6313068402418164
84,Female,46,54,44,0,0.6916534747854869
85,Female,21,54,57,0,0.6680536502448533
86,Male,48,54,46,0,0.7210747535383942
87,Female,55,57,58,0,0.6661026637287344
88,Female,22,57,55,0,0.7195443641806311
89,Female,34,58,60,0,0.6178418644845741
90,Female,50,58,46,0,0.7406156210845598
91,Female,68,59,55,0,0.7109576072158426
92,Male,18,59,41,0,0.6679955718527059
93,Male,48,60,49,0,0.759066392480205
94,Female,40,60,40,0,0.6368572003629581
95,Female,32,60,42,0,0.6797874634350105
96,Male,24,60,52,0,0.7385576389961408
97,Female,47,60,47,0,0.7480392832740255
98,Female,27,60,50,0,0.7542957412832233
99,Male,48,61,42,0,0.6680559562472603
100,Male,20,61,49,0,0.7491267974909457
101,Female,23,62,41,0,0.632588648510794
102,Female,49,62,48,0,0.7333439225914609
103,Male,67,62,59,0,0.5843356211654804
104,Male,26,62,55,0,0.672109580956191
105,Male,49,62,56,0,0.6536354242101198
106,Female,21,62,42,0,0.6539660718005142
107,Female,66,63,50,0,0.7166606191557348
108,Male,54,63,46,0,0.7000936929373452
109,Male,68,63,43,0,0.6564942207512399
110,Male,66,63,48,0,0.7188127427155415
111,Male,65,63,52,0,0.6981503234618791
112,Female,19,63,54,0,0.6715856259556031
113,Female,38,64,42,0,0.6185378754120552
114,Male,19,64,46,0,0.6828156882183324
115,Female,18,65,48,0,0.6830891926958825
116,Female,19,65,50,0,0.6811377967002694
117,Female,63,65,43,0,0.6174864866893108
118,Female,49,65,59,0,0.5205452988534878
119,Female,51,67,43,0,0.5699699908587557
120,Female,50,67,57,0,0.5234718332276215
121,Male,27,67,56,0,0.5468188703336186
122,Female,38,67,40,0,0.4998241614994342
123,Female,40,69,58,0,0.4392186351260605
124,Male,39,69,91,1,0.48677123968357705
125,Female,23,70,29,3,0.007643752543048331
126,Female,31,70,77,1,0.35499284234969297
127,Male,43,71,35,0,0.2000741963500852
128,Male,40,71,95,1,0.5125633846351616
129,Male,59,71,11,3,0.4902988610118831
130,Male,38,71,75,1,0.3357561770332706
131,Male,47,71,9,3,0.5012765537713413
132,Male,39,71,75,1,0.3357561770332706
133,Female,25,72,34,0,0.11597748157300088
134,Female,31,72,71,1,0.22775795133509794
135,Male,20,73,5,3,0.5372639984590952
136,Female,29,73,88,1,0.5530188692894149
137,Female,44,73,7,3,0.5402944758467645
138,Male,32,73,73,1,0.33375809349864566
139,Male,19,74,10,3,0.5510429899837012
140,Female,35,74,72,1,0.3277182746575528
141,Female,57,75,5,3,0.5641233844262155
142,Male,32,75,93,1,0.5796596897295938
143,Female,28,76,40,0,0.19844921710130625
144,Female,32,76,87,1,0.5956125778482992
145,Male,25,77,12,3,0.5860628055171335
146,Male,28,77,97,1,0.5786519461530044
147,Male,48,77,36,3,-0.02857390004870402
148,Female,32,77,74,1,0.45314289714830897
149,Female,34,78,22,3,0.4845435430631886
150,Male,34,78,90,1,0.6202456434700261
151,Male,43,78,17,3,0.5637559659484633
152,Male,39,78,88,1,0.6206505484249668
153,Female,44,78,20,3,0.5219891009614186
154,Female,38,78,76,1,0.511799183273853
155,Female,47,78,16,3,0.57384919302313
156,Female,27,78,89,1,0.6213928562932253
157,Male,37,78,1,3,0.5735261233248065
158,Female,30,78,78,1,0.5442613095780084
159,Male,34,78,1,3,0.5735261233248065
160,Female,30,78,73,1,0.44424160075143315
161,Female,56,79,35,3,0.09680220694152226
162,Female,29,79,83,1,0.6073535495094204
163,Male,19,81,5,3,0.6152253897702753
164,Female,31,81,93,1,0.6299807825906096
165,Male,50,85,26,3,0.5052355525760034
166,Female,36,85,75,1,0.5567665745787311
167,Male,42,86,20,3,0.6084491497708593
168,Female,33,86,95,1,0.6349989493701806
169,Female,36,87,27,3,0.5041547101840754
170,Male,32,87,63,1,0.280184727607424
171,Male,40,87,13,3,0.6581811155390136
172,Male,28,87,75,1,0.5645967476137024
173,Male,36,87,10,3,0.6553698854225851
174,Male,36,87,92,1,0.6502837112566088
175,Female,52,88,13,3,0.6599953295538749
176,Female,30,88,86,1,0.6549291861700332
177,Male,58,88,15,3,0.6545051905029245
178,Male,27,88,69,1,0.4531419079506323
179,Male,59,93,14,3,0.6534744191694353
180,Male,35,93,90,1,0.6485406451689124
181,Female,37,97,32,3,0.4617275053683338
182,Female,32,97,86,1,0.6344432160909446
183,Male,46,98,15,3,0.635631910177387
184,Female,29,98,88,1,0.632251538053905
185,Female,41,99,39,3,0.33477574591933146
186,Male,30,99,97,1,0.60417854379296
187,Female,54,101,24,3,0.5715971321401071
188,Male,28,101,68,1,0.46389855788039314
189,Female,41,103,17,3,0.6072932043252999
190,Female,36,103,85,1,0.6010975198453378
191,Female,34,103,23,3,0.5732760235001423
192,Female,32,103,69,1,0.47494682327064064
193,Male,33,113,8,3,0.5577099632301759
194,Female,38,113,91,1,0.5470280034688272
195,Female,47,120,16,3,0.5123874712255115
196,Female,35,120,79,1,0.4817621566125829
197,Female,45,126,28,3,0.3884553727679942
198,Male,32,126,74,1,0.3885855106758893
199,Male,32,137,18,3,0.38766847819807365
200,Male,30,137,83,1,0.3726429038328156
